gradient_model,env,seed_0,run_dir_0,condition_0,seed_1,run_dir_1,condition_1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_14.env,970015,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970015,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970115,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970115,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_15.env,970016,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970016,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970116,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970116,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_16.env,970017,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970017,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970117,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970117,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_17.env,970018,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970018,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970118,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970118,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_18.env,970019,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970019,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970119,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970119,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_19.env,970020,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970020,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970120,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970120,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_20.env,970021,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970021,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970121,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970121,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_21.env,970022,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970022,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970122,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970122,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_22.env,970023,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970023,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970123,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970123,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
1,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/gradient/gradient_env_23.env,970024,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970024,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 1,970124,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970124,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 1
